task_id,Vendor Name,Item ID,description,spend_12m,qty_12m,avg_unit_cost_12m,task_type,candidate_mpns,mapping_status,mapped_mpn,mapped_mfr,mapping_source,match_confidence,mapping_note,lookup_mode,status,research_note
T0001,Vendor A,ABC1234,Resistor ABC1234 10K,1200.0,1000.0,1.2,pricing_benchmark,['ABC1234'],mapped,ABC1234,,curated_high_confidence,1.0,curated_high_confidence,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0002,Vendor A,XYZ9876,Capacitor XYZ9876 10uF,900.0,1000.0,0.9,pricing_benchmark,['XYZ9876'],mapped,XYZ9876,,verified,1.0,verified,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0003,Vendor B,LMN5555,Regulator LMN5555 5V,800.0,1000.0,0.8,pricing_benchmark,['LMN5555'],mapped,LMN5555,,erp,1.0,erp,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0004,Vendor B,NC9999,Custom Assembly NC9999,600.0,100.0,6.0,pricing_benchmark,[],non_catalog,,,custom part,1.0,custom part,non_catalog,skipped_non_catalog,Marked NONCATALOG/CUSTOM in mpn_map.csv; API lookup skipped.
T0005,Vendor C,AAA1111,Connector AAA1111,500.0,1000.0,0.5,pricing_benchmark,[],needs_review,,,missing mapping,0.0,missing mapping,catalog_lookup,needs_mapping,No verified MPN mapping. Update part_master/mpn_map before pricing research.
T0006,Vendor C,BBB2222,Relay BBB2222,400.0,100.0,4.0,pricing_benchmark,[],needs_review,,,missing mapping,0.0,missing mapping,catalog_lookup,needs_mapping,No verified MPN mapping. Update part_master/mpn_map before pricing research.
T0007,Vendor A,ABC1234,Resistor ABC1234 10K,0.0,0.0,0.0,alternate_part,['ABC1234'],mapped,ABC1234,,curated_high_confidence,1.0,curated_high_confidence,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0008,Vendor A,XYZ9876,Capacitor XYZ9876 10uF,0.0,0.0,0.0,alternate_part,['XYZ9876'],mapped,XYZ9876,,verified,1.0,verified,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0009,Vendor B,LMN5555,Regulator LMN5555 5V,0.0,0.0,0.0,alternate_part,['LMN5555'],mapped,LMN5555,,erp,1.0,erp,catalog_lookup,needs_research,No external APIs configured. Set provider credentials or use agent fallback.
T0010,Vendor B,NC9999,Custom Assembly NC9999,0.0,0.0,0.0,alternate_part,[],non_catalog,,,custom part,1.0,custom part,non_catalog,skipped_non_catalog,Marked NONCATALOG/CUSTOM in mpn_map.csv; API lookup skipped.
